ROI,Frame,Wavelength,Row,Column,Intensity,Exposure started time stamp,Exposure ended time stamp
1,1,513.57320434154246,0,210,14,N/A,N/A
1,1,513.69849752478763,0,211,12,N/A,N/A
1,1,513.82378580429508,0,212,11,N/A,N/A
1,1,513.94906917791479,0,213,14,N/A,N/A
1,1,514.07434764349659,0,214,15,N/A,N/A
1,1,514.19962119889112,0,215,14,N/A,N/A
1,1,514.32488984194936,0,216,11,N/A,N/A
1,1,514.45015357052228,0,217,15,N/A,N/A
1,1,514.57541238246154,0,218,15,N/A,N/A
1,1,514.700666275619,0,219,14,N/A,N/A
1,1,514.82591524784721,0,220,9,N/A,N/A
1,1,514.95115929699875,0,221,13,N/A,N/A
1,1,515.07639842092658,0,222,18,N/A,N/A
1,1,515.20163261748428,0,223,16,N/A,N/A
1,1,515.32686188452567,0,224,12,N/A,N/A
1,1,515.45208621990491,0,225,13,N/A,N/A
1,1,515.57730562147651,0,226,21,N/A,N/A
1,1,515.70252008709542,0,227,19,N/A,N/A
1,1,515.82772961461683,0,228,17,N/A,N/A
1,1,515.9529342018966,0,229,19,N/A,N/A
1,1,516.07813384679071,0,230,23,N/A,N/A
1,1,516.20332854715537,0,231,17,N/A,N/A
1,1,516.32851830084792,0,232,14,N/A,N/A
1,1,516.4537031057248,0,233,14,N/A,N/A
1,1,516.578882959644,0,234,17,N/A,N/A
1,1,516.70405786046342,0,235,12,N/A,N/A
1,1,516.8292278060411,0,236,17,N/A,N/A
1,1,516.954392794236,0,237,18,N/A,N/A
1,1,517.07955282290686,0,238,16,N/A,N/A
1,1,517.20470788991315,0,239,14,N/A,N/A
1,1,517.32985799311484,0,240,9,N/A,N/A
1,1,517.45500313037178,0,241,14,N/A,N/A
1,1,517.58014329954483,0,242,21,N/A,N/A
1,1,517.70527849849452,0,243,22,N/A,N/A
1,1,517.83040872508252,0,244,18,N/A,N/A
1,1,517.95553397717026,0,245,20,N/A,N/A
1,1,518.08065425261964,0,246,18,N/A,N/A
1,1,518.20576954929322,0,247,15,N/A,N/A
1,1,518.33087986505382,0,248,9,N/A,N/A
1,1,518.45598519776456,0,249,20,N/A,N/A
1,1,518.58108554528894,0,250,18,N/A,N/A
1,1,518.70618090549067,0,251,16,N/A,N/A
1,1,518.83127127623447,0,252,18,N/A,N/A
1,1,518.95635665538464,0,253,18,N/A,N/A
1,1,519.08143704080624,0,254,21,N/A,N/A
1,1,519.2065124303648,0,255,21,N/A,N/A
1,1,519.33158282192608,0,256,18,N/A,N/A
1,1,519.45664821335629,0,257,18,N/A,N/A
1,1,519.58170860252187,0,258,18,N/A,N/A
1,1,519.70676398728972,0,259,18,N/A,N/A
1,1,519.83181436552718,0,260,18,N/A,N/A
1,1,519.956859735102,0,261,12,N/A,N/A
1,1,520.081900093882,0,262,23,N/A,N/A
1,1,520.20693543973607,0,263,33,N/A,N/A
1,1,520.33196577053241,0,264,19,N/A,N/A
1,1,520.45699108414078,0,265,14,N/A,N/A
1,1,520.58201137843037,0,266,16,N/A,N/A
1,1,520.70702665127124,0,267,15,N/A,N/A
1,1,520.83203690053358,0,268,20,N/A,N/A
1,1,520.95704212408828,0,269,10,N/A,N/A
1,1,521.08204231980642,0,270,17,N/A,N/A
1,1,521.20703748555945,0,271,18,N/A,N/A
1,1,521.33202761921893,0,272,19,N/A,N/A
1,1,521.45701271865755,0,273,18,N/A,N/A
1,1,521.58199278174766,0,274,24,N/A,N/A
1,1,521.70696780636206,0,275,20,N/A,N/A
1,1,521.83193779037435,0,276,16,N/A,N/A
1,1,521.95690273165837,0,277,17,N/A,N/A
1,1,522.081862628088,0,278,19,N/A,N/A
1,1,522.20681747753781,0,279,20,N/A,N/A
1,1,522.3317672778827,0,280,20,N/A,N/A
1,1,522.45671202699793,0,281,18,N/A,N/A
1,1,522.58165172275926,0,282,17,N/A,N/A
1,1,522.70658636304256,0,283,14,N/A,N/A
1,1,522.83151594572428,0,284,24,N/A,N/A
1,1,522.95644046868131,0,285,22,N/A,N/A
1,1,523.08135992979078,0,286,20,N/A,N/A
1,1,523.20627432693,0,287,21,N/A,N/A
1,1,523.33118365797725,0,288,25,N/A,N/A
1,1,523.45608792081077,0,289,24,N/A,N/A
1,1,523.58098711330911,0,290,23,N/A,N/A
1,1,523.70588123335153,0,291,26,N/A,N/A
1,1,523.83077027881734,0,292,24,N/A,N/A
1,1,523.95565424758661,0,293,26,N/A,N/A
1,1,524.08053313753942,0,294,24,N/A,N/A
1,1,524.20540694655642,0,295,32,N/A,N/A
1,1,524.3302756725185,0,296,35,N/A,N/A
1,1,524.45513931330731,0,297,31,N/A,N/A
1,1,524.57999786680443,0,298,30,N/A,N/A
1,1,524.704851330892,0,299,29,N/A,N/A
1,1,524.82969970345266,0,300,23,N/A,N/A
1,1,524.95454298236928,0,301,31,N/A,N/A
1,1,525.07938116552532,0,302,26,N/A,N/A
1,1,525.20421425080406,0,303,37,N/A,N/A
1,1,525.32904223609012,0,304,30,N/A,N/A
1,1,525.45386511926768,0,305,26,N/A,N/A
1,1,525.57868289822159,0,306,32,N/A,N/A
1,1,525.703495570837,0,307,34,N/A,N/A
1,1,525.82830313499983,0,308,29,N/A,N/A
1,1,525.9531055885958,0,309,29,N/A,N/A
1,1,526.07790292951131,0,310,27,N/A,N/A
1,1,526.20269515563336,0,311,23,N/A,N/A
1,1,526.3274822648491,0,312,29,N/A,N/A
1,1,526.452264255046,0,313,37,N/A,N/A
1,1,526.5770411241117,0,314,36,N/A,N/A
1,1,526.70181286993511,0,315,39,N/A,N/A
1,1,526.82657949040458,0,316,37,N/A,N/A
1,1,526.95134098340918,0,317,32,N/A,N/A
1,1,527.07609734683854,0,318,40,N/A,N/A
1,1,527.20084857858251,0,319,38,N/A,N/A
1,1,527.3255946765313,0,320,35,N/A,N/A
1,1,527.45033563857567,0,321,29,N/A,N/A
1,1,527.57507146260662,0,322,36,N/A,N/A
1,1,527.69980214651548,0,323,36,N/A,N/A
1,1,527.82452768819428,0,324,38,N/A,N/A
1,1,527.94924808553492,0,325,44,N/A,N/A
1,1,528.07396333643032,0,326,39,N/A,N/A
1,1,528.19867343877331,0,327,41,N/A,N/A
1,1,528.32337839045726,0,328,39,N/A,N/A
1,1,528.44807818937591,0,329,40,N/A,N/A
1,1,528.57277283342341,0,330,40,N/A,N/A
1,1,528.69746232049442,0,331,39,N/A,N/A
1,1,528.82214664848379,0,332,48,N/A,N/A
1,1,528.94682581528673,0,333,36,N/A,N/A
1,1,529.07149981879923,0,334,40,N/A,N/A
1,1,529.19616865691728,0,335,38,N/A,N/A
1,1,529.32083232753712,0,336,37,N/A,N/A
1,1,529.445490828556,0,337,38,N/A,N/A
1,1,529.570144157871,0,338,48,N/A,N/A
1,1,529.69479231337982,0,339,41,N/A,N/A
1,1,529.81943529298053,0,340,48,N/A,N/A
1,1,529.94407309457154,0,341,49,N/A,N/A
1,1,530.0687057160518,0,342,48,N/A,N/A
1,1,530.19333315532037,0,343,45,N/A,N/A
1,1,530.31795541027714,0,344,47,N/A,N/A
1,1,530.44257247882183,0,345,47,N/A,N/A
1,1,530.56718435885489,0,346,46,N/A,N/A
1,1,530.69179104827731,0,347,46,N/A,N/A
1,1,530.81639254499021,0,348,49,N/A,N/A
1,1,530.94098884689515,0,349,47,N/A,N/A
1,1,531.06557995189394,0,350,54,N/A,N/A
1,1,531.19016585788927,0,351,49,N/A,N/A
1,1,531.31474656278374,0,352,42,N/A,N/A
1,1,531.43932206448051,0,353,41,N/A,N/A
1,1,531.56389236088319,0,354,53,N/A,N/A
1,1,531.68845744989551,0,355,49,N/A,N/A
1,1,531.81301732942211,0,356,46,N/A,N/A
1,1,531.93757199736751,0,357,55,N/A,N/A
1,1,532.062121451637,0,358,51,N/A,N/A
1,1,532.186665690136,0,359,57,N/A,N/A
1,1,532.31120471077043,0,360,58,N/A,N/A
1,1,532.43573851144663,0,361,51,N/A,N/A
1,1,532.56026709007131,0,362,60,N/A,N/A
1,1,532.68479044455148,0,363,59,N/A,N/A
1,1,532.80930857279475,0,364,67,N/A,N/A
1,1,532.933821472709,0,365,75,N/A,N/A
1,1,533.05832914220252,0,366,96,N/A,N/A
1,1,533.18283157918393,0,367,99,N/A,N/A
1,1,533.30732878156232,0,368,107,N/A,N/A
1,1,533.43182074724723,0,369,130,N/A,N/A
